"FIPS","StateName","CountyName","Votes","Trump","Clinton","Other","TrumpPCT","ClintonPCT","OtherPCT","TrumpVClinton","TrumpVClintonPCT","FIPSWinner","StateWinner","UrbanPCT","MedianAge","WhiteAlonePCT","BlackAlonePCT","HispanicPCT","PovertyPCT","MedianHouseholdIncome","EmplPopRatio16Over","HighSchoolorHigherPCT","BAorHigherPCT"
"01001","Alabama","Autauga, AL",24973,18172,5936,865,72.7665879149481,23.7696712449445,3.46374084010732,12236,48.9969166700036,"Trump","Trump",57.9978376793535,"37.7",77.3999022111153,18.6794878759892,2.60770359102515,12.7,56.58,"56","87.2","23.2"
"01003","Alabama","Baldwin, AL",95215,72883,18458,3874,76.5457123352413,19.3856010082445,4.0686866565142,54425,57.1601113269968,"Trump","Trump",57.7209008860725,"42.2",86.4314963535447,9.60173430845475,4.49772192639439,12.9,52.387,"55","89.5","29"
"01005","Alabama","Barbour, AL",10469,5454,4871,144,52.0966663482663,46.5278441111854,1.37548954054829,583,5.5688222370809,"Trump","Trump",32.2103652984667,"38.8",47.3637308777662,46.7659290063865,4.6079013812565,32,31.433,"39.5","73.3","12.5"
"01007","Alabama","Bibb, AL",8819,6738,1874,207,76.4032203197641,21.2495747817213,2.34720489851457,4864,55.1536455380429,"Trump","Trump",31.6473925376391,"38.9",76.6545744116086,21.4386834188639,2.22084586798797,22.2,40.767,"45.2","80.7","10.6"
"01009","Alabama","Blount, AL",25588,22859,2156,573,89.3348444583398,8.42582460528373,2.23933093637643,20703,80.9090198530561,"Trump","Trump",10.0484979588989,"40.7",95.0979033096517,1.53179691561255,8.6293536648761,14.7,50.487,"48.4","78.5","12.9"
"01011","Alabama","Bullock, AL",4710,1140,3530,40,24.203821656051,74.9469214437367,0.849256900212314,-2390,-50.7430997876858,"Clinton","Trump",48.6256184716877,"39.3",26.6435662109009,70.7061247424611,4.42966847724293,39.6,28.251,"44.7","64.9","13.9"
"01013","Alabama","Butler, AL",8732,4901,3726,105,56.1268896014659,42.6706367384334,1.20247366010078,1175,13.4562528630325,"Trump","Trump",28.7678426504989,"40.5",54.1564311683207,44.0257443254397,1.17912940945269,25.8,33.868,"48.2","77.8","14.5"
"01015","Alabama","Calhoun, AL",47864,32865,13242,1757,68.6632960053485,27.6658866789236,3.6708173157279,19623,40.9974093264249,"Trump","Trump",66.3031744425328,"39.1",75.1105891228311,20.4847061244085,3.49341608943145,20,42.091,"50.8","80.9","17.6"
"01017","Alabama","Chambers, AL",13900,7843,5784,273,56.4244604316547,41.6115107913669,1.96402877697842,2059,14.8129496402878,"Trump","Trump",50.8519655122022,"43.0",57.6660113266234,40.3122157340298,0.446022477185363,22.4,35.56,"49.8","78.9","11.6"
"01019","Alabama","Cherokee, AL",10733,8953,1547,233,83.4156340259014,14.4134911022081,2.17087487189043,7406,69.0021429236933,"Trump","Trump",14.2637269614067,"45.4",92.9214087972931,4.92540756690249,1.50338357428484,19.4,39.144,"47.8","79.5","13.8"
"01021","Alabama","Chilton, AL",18369,15081,2911,377,82.1002776416789,15.8473515161413,2.05237084217976,12170,66.2529261255376,"Trump","Trump",13.2552757601448,"38.8",84.0457335858874,10.3334170108857,7.64508546520916,20.2,42.767,"52.1","78.4","14.1"
"01023","Alabama","Choctaw, AL",7292,4106,3109,77,56.3082830499177,42.6357652221613,1.05595172792101,997,13.6725178277565,"Trump","Trump",0,"44.9",55.8939902948862,43.3072041806644,0.358342665173572,24.4,35.089,"40.4","76.4","11.8"
"01025","Alabama","Clarke, AL",13031,7140,5749,142,54.7924180799632,44.1178727649451,1.0897091550917,1391,10.674545315018,"Trump","Trump",24.019664769868,"41.1",53.558037495014,45.2572796170722,0.33905065815716,22.2,37.317,"40.5","80.5","12.9"
"01027","Alabama","Clay, AL",6624,5245,1237,142,79.1817632850241,18.6745169082126,2.14371980676328,4008,60.5072463768116,"Trump","Trump",0,"43.8",81.7389377262318,14.5009972667504,3.17647927901308,18.4,38.908,"47.4","75.1","9.6"
